Map,Winner,Winner race,Loser,Loser race
Last Refuge,MisterWinner,h,ReaVeR,h
Brightwater Oasis,Sonik,n,Neytpoh,n
Last Refuge,Pongo,n,AllTheSmoke,u
Terenas Stand LV,HawK,h,Cement,u
Concealed Hill,Starshaped,n,Lilyal,u
Concealed Hill,JohnnyCage,n,Please,n
Last Refuge,Blade,h,Dise,n
Northern Isles,Sok,h,Eer0,u
Northern Isles,Happy,u,Edo,u
Echo Isles,Edo,u,Kevin,n
Concealed Hill,Colorful,n,Bido,h
Echo Isles,Dise,n,Please,n
Echo Isles,SDmK,u,Dise,n
Echo Isles,Fish,h,Sonik,n
Amazonia,HawK,h,Foggy,n
Northern Isles,Chaemiko,h,Eer0,u
Echo Isles,Chaemiko,h,Infi,u
Terenas Stand LV,JohnnyCage,h,HawK,h
Last Refuge,Oxx,o,Evanescence,n
Last Refuge,Deuce,u,Ceron,n
Twisted Meadows,Rici,o,AGa,TBD
Concealed Hill,Foggy,n,Deathnote,h
Northern Isles,MisterWinner,h,Hankk,u
Concealed Hill,SaiDe,n,ToD,h
Northern Isles,XlorD,u,Foggy,n
Amazonia,Fish,h,Singroso,h
Twisted Meadows,Sonik,n,RaZZoRMaN,o
Northern Isles,Please,n,ToD,h
Amazonia,Sonik,n,Powlok,h
Echo Isles,XiaoKai,u,Soin,o
Last Refuge,Hipposaur,h,MisterWinner,h
Last Refuge,CoopeR,o,LiiLD.C,n
Northern Isles,Lin Guagua,o,ThundeR,h
Northern Isles,Lyn,o,Soin,o
Terenas Stand LV,Cement,u,Dise,n
Terenas Stand LV,SaysO,o,Duck,u
Twisted Meadows,Blade,h,GhostDragon,h
Twisted Meadows,Sonik,n,XlorD,u
Concealed Hill,Hunter,n,Duck,u
Last Refuge,ToM,o,Lubber,u
Concealed Hill,SpoKi,h,Philiwarrior,o
Echo Isles,Hankk,o,Biko,u
Amazonia,PhiLbOiS,n,Delta,n
Amazonia,Ceron,n,Fish,h
Last Refuge,Duck,u,HellRaiseR,u
Terenas Stand LV,Deathnote,h,Please,n
Last Refuge,Sixb0nes,h,FollowBerlin,o
Concealed Hill,Zhou Xixi,n,Yumiko,h
Northern Isles,Remodemo,u,SushiLicious,u
Concealed Hill,WFZ,u,Fortitude,h
Last Refuge,Happy,u,HawK,h
Echo Isles,Fleshless,o,Bl4ckmojo,u
Last Refuge,Blade,h,ToD,h
Concealed Hill,Pride,o,Divine,u
Amazonia,LiiLD.C,n,SyDe,u
Northern Isles,OCRaM,h,Red7z7,u
Zul'Alor,Sheik,u,Ossavi,h
Terenas Stand LV,CoopeR,o,Blade,h
Echo Isles,LiiLD.C,n,ToD,h
Last Refuge,Maru,h,Dise,n
Last Refuge,Bizzare,o,ALF (German player),h
Last Refuge,Dise,n,Totoro,n
Last Refuge,GoStyle,o,ManicTwig,o
Amazonia,INSUPERABLE,u,DirtBag,h
Northern Isles,ToM,o,Paxa,u
Amazonia,Please,n,Sheik,u
Amazonia,Colorful,n,Ark,n
Last Refuge,Quberte,u,Meecro,n
Amazonia,FoCuS,o,Inspired,h
Amazonia,Rados,h,NickMoris,n
Terenas Stand LV,Edo,u,Celebrate,o
Last Refuge,ToD,h,JokeRn,n
Last Refuge,ThorZaIN,h,LaWn,o
Northern Isles,Cement,u,SDmK,n
Last Refuge,Fish,h,ToM,o
Concealed Hill,Spiral,u,SaiDe,n
Concealed Hill,InsoliTe,u,DesTr0,h
Terenas Stand LV,FpXy,u,Smurf,n
Northern Isles,TeRRoR,u,Michael,u
Concealed Hill,Foggy,n,Lin Guagua,o
Amazonia,MisterWinner,h,Bischa,h
Last Refuge,Bardigan,u,J.Nice,u
Northern Isles,Happy,u,HawK,h
Amazonia,Biko,u,Tak3r,o
Echo Isles,Hipposaur,h,Ena1337,o
Northern Isles,Happy,u,Aeb,u
Northern Isles,Happy,u,Dise,n
Northern Isles,ThorZaIN,h,Sheik,u
Terenas Stand LV,Sonik,n,ToM,o
Northern Isles,Edo,u,Powermkd,TBD
Last Refuge,Helbisch,u,Valnight,h
Northern Isles,Happy,u,HawK,h
Concealed Hill,SeTh,n,BlaST9Z,n
Turtle Rock,LawLiet,n,FoCuS,o
Northern Isles,Please,n,Drashk,u
Amazonia,XiaoKai,o,Ice orc,o
Northern Isles,Happy,u,Neytpoh,n
Concealed Hill,Ark,n,Fish,h
Amazonia,XlorD,u,EnTe,u
Last Refuge,Happy,u,Foggy,n
Amazonia,Edo,u,MisterWinner,h
Echo Isles,Moon,n,Infi,h
Echo Isles,TekRicket,n,Darkness,u
Last Refuge,Please,n,Dise,n
Last Refuge,MrKenshin,o,Sp4rta,u
Echo Isles,Sok,h,FoCuS,o
Northern Isles,Chiko,o,Mosura,r
Last Refuge,PriesT,h,Meecro,n
Last Refuge,Sonik,n,Load (Russian player),o
Twisted Meadows,Cement,u,Deadmouz,u
Amazonia,Ze1Ko,h,Wiz,o
Twisted Meadows,Starshaped,n,EnTe,u
Last Refuge,INSUPERABLE,u,Deuce,u
Twisted Meadows,Soin,o,Alice,n
Northern Isles,LawLiet,n,TH000,h
Concealed Hill,Pride,o,HartCrane,o
Amazonia,Colorful,n,Passion,n
Last Refuge,Deathnote,h,Evanescence,n
Amazonia,Sonik,n,JohnnyCage,h
Echo Isles,Bizzare,o,FpXy,n
Amazonia,Simba,h,Gulliver,h
Northern Isles,MisterWinner,h,Chaganaga,u
Last Refuge,WaN,u,CoopeR,o
Autumn Leaves,Shocky,u,SpoKi,h
Autumn Leaves,ArminvB,o,Ag3nt,h
Last Refuge,Michael,u,Lyn,o
Terenas Stand LV,Lin Guagua,o,Foggy,n
Last Refuge,Soin,o,Sok,h
Concealed Hill,Happy,u,HawK,h
Echo Isles,Happy,u,Foggy,n
Concealed Hill,Fish,h,Divine,u
Last Refuge,Foggy,n,Lin Guagua,o
Last Refuge,PriesT,h,Rottereye,n
Amazonia,JohnnyCage,h,Dise,n
Northern Isles,MisterWinner,h,NoobKing,u
Last Refuge,Lyn,o,Sok,h
Echo Isles,Happy,u,P1nke,o
Echo Isles,KiWiKaKi,o,Duck,u
Autumn Leaves,Starshaped,n,KiWiKaKi,o
Echo Isles,Hipposaur,h,Hankk,o
Tidehunters,MisterWinner,h,Cash,o
Terenas Stand LV,Foggy,n,KraV,u
Last Refuge,Fly100%,o,LawLiet,n
Concealed Hill,Sheik,u,HawK,h
Northern Isles,Aeb,u,LuTr,o
Last Refuge,Michael,u,Sonik,n
Concealed Hill,Gonz,n,X3-DemoN,h
Tidehunters,Iblazatar,h,IDentify,o
Northern Isles,Seal,o,DesTr0,h
Concealed Hill,,,,
Turtle Rock,ArminvB,o,Scower,o
Autumn Leaves,Sonik,n,Ag3nt,h
Twisted Meadows,BoO,u,RavinDrannor,o
Northern Isles,Blade,h,Dise,n
Turtle Rock,SyDe,u,Starshaped,n
Concealed Hill,Foggy,n,Rennaissanse,n
Twisted Meadows,HawK,h,NickMoris,n
Talonrift Coast,TGW,u,Sheik,u
Last Refuge,Ag3nt,h,Sunny,h
Amazonia,VietnamGosu,u,Tak3r,o
Last Refuge,Heisman,h,Rottereye,n
Northern Isles,HoT,n,TGW,o
Echo Isles,Sheik,u,HawK,h
Northern Isles,MisterWinner,h,EdGE,u
Concealed Hill,15sui,n,Ice orc,o
Last Refuge,ALe,n,Scimitar,o
Concealed Hill,Hankk,o,YggaM,h
Amazonia,Moon,n,Eer0,u
Turtle Rock,LawLiet,n,Ice orc,o
Amazonia,HawK,h,MisterWinner,h
Concealed Hill,ToM,o,Scars,o
Last Refuge,HawK,h,MisterWinner,h
Last Refuge,ThundeR,h,Michael,u
Twisted Meadows,SDmK,u,Dise,n
Twisted Meadows,CoopeR,o,ArminvB,o
Last Refuge,HawK,h,Please,n
Northern Isles,Michael,u,Turnaround,h
Tidehunters,Dise,n,Fabrizzio,o
Last Snow,KraV,u,Ajk,n
Northern Isles,Sonik,n,Kucher,h
Autumn Leaves,Drunken,h,ToM,o
Echo Isles,Colorful,n,Infi,u
Northern Isles,WaN,u,SushiLicious,u
Last Refuge,Ag3nt,h,Mosura,u
Autumn Leaves,Sonik,n,Deathnote,h
Concealed Hill,ThorZaIN,h,SyDe,u
Amazonia,Sok,h,Fortitude,h
Concealed Hill,Starshaped,n,Hankk,o
Northern Isles,RavinDrannor,o,Fish,h
Last Refuge,Bizzare,o,BsK,u
Last Refuge,ThundeR,h,Tbc bm,u
Last Refuge,ToD,h,SpoKi,n
Northern Isles,Pink,u,ThundeR,h
Last Refuge,Freshwind,u,Psike,u
Terenas Stand LV,Deuce,u,CrunCher,h
Northern Isles,Sok,h,FoCuS,o
Concealed Hill,HawK,h,Foggy,n
Echo Isles,ToM,o,Scars,o
Last Refuge,MisterWinner,h,Inspired,h
Echo Isles,Lin Guagua,o,Moon,n
Twisted Meadows,CoopeR,o,SaiDe,n
Echo Isles,Sonik,n,Stormrage55,n
Amazonia,Imud,u,MisterWinner,h
Concealed Hill,CranKy SnaiL,h,Edek,o
Amazonia,LawLiet,n,ThundeR,h
Northern Isles,Ser,u,Ena1337,o
Last Refuge,ThundeR,h,Pcg 123,u
Last Refuge,Michael,u,Pink,u
Northern Isles,Shocky,u,ChriS,u
Concealed Hill,HurricaneBo,n,Pink,u
Echo Isles,Paladyn,n,Dise,n
Northern Isles,ToM,o,AtheistP,h
Turtle Rock,Blade,h,Dise,n
Northern Isles,Dise,n,SDmK,u
Amazonia,,,,
Concealed Hill,Neytpoh,n,EnTe,u
Amazonia,Please,n,Dise,n
Turtle Rock,XiaoKK,o,Decadent God,o
Last Refuge,Cement,u,X3-DemoN,h
Amazonia,Kevin,n,JokeRn,n
Echo Isles,Sheik,u,Sok,h
Last Refuge,Foggy,n,Lin Guagua,o
Twisted Meadows,XlorD,u,WaN,u
Concealed Hill,Changer,h,Franzyzz,o
Amazonia,Aeb,u,StaN,h
Last Refuge,Kaho,n,Leezeay,o
Last Refuge,Happy,u,Sonik,n
Concealed Hill,TGW,u,CoopeR,o
Terenas Stand LV,Michael,u,Ice orc,o
Concealed Hill,Franzyzz,o,Scars,o
Northern Isles,Fortitude,h,ThundeR,h
Concealed Hill,Sonik,n,Fish,h
Last Refuge,ToD,h,Spiral,n
Amazonia,CrunCher,h,Hitman,o
Concealed Hill,Lin Guagua,o,Ice orc,o
Concealed Hill,ToD,h,Kevin,n
Last Refuge,SyDe,u,Starshaped,n
Northern Isles,Chaemiko,h,Soin,o
Northern Isles,Foggy,n,ZeLL,h
Terenas Stand LV,Foggy,n,Cash,o
Northern Isles,Michael,u,CoopeR,o
Last Refuge,Dise,n,Feartheg0lem,u
Northern Isles,Quberte,u,Rheagal,u
Echo Isles,Neytpoh,n,VictorZorin,u
Amazonia,Fortitude,h,FoCuS,o
Turtle Rock,Happy,u,Please,n
Last Refuge,TGW,n,Tripode,o
Echo Isles,Moon,n,Michael,u
Amazonia,HawK,h,Blade,h
Twisted Meadows,,,,
Concealed Hill,Sunny,h,ReaVeR,h
Concealed Hill,ToM,o,Fish,h
Echo Isles,Seal,o,Daille,h
Concealed Hill,Ceron,n,Fish,h
Amazonia,Dise,n,Sonik,n
Terenas Stand LV,JohnnyCage,h,Dise,n
Echo Isles,ToD,o,EnTe,u
Last Refuge,ZeLL,h,Wiz,u
Turtle Rock,Sonik,n,Biko,u
Concealed Hill,Helbisch,u,Darkness,u
Amazonia,Hitman,o,Hailua,h
Northern Isles,Cement,u,Chiko,o
Echo Isles,Paladyn,n,RaZZoRMaN,o
Last Refuge,JeanBonbeur,h,Bischa,h
Last Refuge,Fly100%,o,Fortitude,h
Amazonia,Dise,n,Neytpoh,n
Last Refuge,Sonik,n,NoBigThing,u
Northern Isles,LawLiet,n,FoCuS,o
Echo Isles,Edo,u,Hipposaur,h
Amazonia,Happy,u,HawK,h
Amazonia,MisterWinner,h,Temskiy,o
Echo Isles,Maru,h,SDmK,u
Concealed Hill,ToM,o,EnTe,u
Twisted Meadows,Happy,u,VortiX,u
Concealed Hill,Pcg 123,u,无道oc,o
Amazonia,Dise,n,Fish,h
Northern Isles,ThundeR,h,Bike,h
Northern Isles,Biko,u,MisterWinner,h
Echo Isles,MisterWinner,h,ArminvB,o
Amazonia,Franzyzz,o,Ena1337,o
Amazonia,Believe (Canadian player),n,Fabrizzio,o
Concealed Hill,Blade,h,HawK,h
Concealed Hill,Scars,o,PalleS,h
Turtle Rock,INSUPERABLE,u,SaysO,o
Last Refuge,Dise,n,PteN,o
Last Refuge,Fish,h,MisterWinner,h
Amazonia,Sok,h,LawLiet,n
Amazonia,Sonik,n,MisterWinner,h
Amazonia,Sonik,n,ThundeR,h
Northern Isles,Ark,n,Duck,u
Twisted Meadows,Sonik,n,Bizzare,o
Twisted Meadows,15sui,n,Soin,o
Amazonia,Gonz,n,Tak3r,o
Echo Isles,Franzyzz,o,Helbisch,u
Shattered Exile,MisterWinner,h,Sonik,n
Last Refuge,Eer0,u,Colorful,n
Northern Isles,Destroyer (Iranian player),u,Loopin,u
Last Refuge,Foggy,n,KraV,u
Echo Isles,Michael,u,Sok,h
Last Refuge,KraV,u,Ze1Ko,h
Northern Isles,Happy,u,Rici,o
Concealed Hill,Sonik,n,ThorZaIN,h
Concealed Hill,Sheik,u,HoT,n
Concealed Hill,Rcknew,n,Photonman24,u
Amazonia,ToD,h,JokeRn,n
Amazonia,Acolyte Streamer,h,Chaganaga,u
Echo Isles,Sonik,n,Please,n
Echo Isles,Happy,u,HawK,h
Amazonia,LongWalk,n,JokeRn,n
Concealed Hill,YoungUndead,u,RichApM,u
Turtle Rock,Chaemiko,h,LawLiet,n
Last Refuge,Sooo Unreal,h,Auabnaeugene,u
Northern Isles,Changer,h,PalleS,h
Terenas Stand LV,CoopeR,o,Cement,u
Northern Isles,Sonik,n,Biko,u
Northern Isles,Fhra,o,TR-vanilla,n
Amazonia,Hankk,o,AtheistP,h
Echo Isles,Hipposaur,h,Powlok,h
Northern Isles,Chaemiko,h,Infi,u
Northern Isles,Sheik,u,MisterWinner,h
Last Refuge,Eer0,u,Infi,u
Last Refuge,Changer,h,ActionMarc,TBD
Concealed Hill,Seal,o,Daille,h
Northern Isles,XeLSinG,o,Hankk,o
Echo Isles,Foggy,n,Moon,n
Amazonia,Endozero,o,Psike,u
Last Refuge,Eer0,u,Colorful,n
Amazonia,Sheik,u,Deathnote,h
Northern Isles,JohnnyCage,h,Neytpoh,n
Concealed Hill,FpXy,u,Smurf,n
Northern Isles,Sok,h,Lyn,o
Twisted Meadows,CoopeR,o,LuTr,o
Northern Isles,XlorD,u,ThorZaIN,h
Northern Isles,WTii,h,GoStyle,o
Turtle Rock,Sonik,n,XlorD,u
Echo Isles,Lyn,o,FoCuS,o
Concealed Hill,Happy,u,Steler,o
Northern Isles,HoT,n,Sheik,u
Echo Isles,Happy,u,Sheik,u
Echo Isles,CorNoX,n,SeTh,n
Last Refuge,Zhou Xixi,n,Yange,n
Amazonia,Ze1Ko,h,Feartheg0lem,u
Echo Isles,FoCuS,o,Fortitude,h
Terenas Stand LV,Hitman,o,KiWiKaKi,o
Northern Isles,Foggy,n,Dise,n
Amazonia,Happy,u,Sonik,n
Last Refuge,FoCuS,o,Rici,o
Twisted Meadows,Hankk,o,Helbisch,u
Concealed Hill,WaN,u,LongWalk,n
Concealed Hill,Michael,u,Chaemiko,h
Northern Isles,ToM,o,Drunken,h
Last Refuge,ActionMarc,TBD,Blackrayman,u
Amazonia,Blade,h,ThundeR,h
Turtle Rock,Skutt,u,Tak3r,o
Last Refuge,Happy,u,Michael,u
Last Refuge,ToD,h,JokeRn,n
Amazonia,CoopeR,o,Temskiy,o
Last Refuge,Sheik,u,Sonik,n
Concealed Hill,Moon,n,Michael,u
Northern Isles,Sok,h,XiaoKai,u
Echo Isles,Foggy,n,KraV,u
Terenas Stand LV,Sonik,n,Sunny,h
Last Refuge,Infi,n,TH000,n
Amazonia,PalleS,h,Scars,o
Echo Isles,Lyn,o,Sok,h
Concealed Hill,SyDe,u,Neytpoh,n
Northern Isles,Philiwarrior,o,Helbisch,u
Last Refuge,Hankk,u,MisterWinner,h
Last Refuge,Sheik,u,Lilyal,u
Last Refuge,KiWiKaKi,o,Alexchen,n
Terenas Stand LV,Sonik,n,Crrpt,o
Amazonia,Fast,o,Mango,u
Concealed Hill,Gonz,n,X3-DemoN,h
Echo Isles,KraV,u,XlorD,u
Northern Isles,Sheik,u,TGW,u
Northern Isles,Believe (Canadian player),n,Rottereye,n
Terenas Stand LV,Smurf,u,MisterWinner,h
Echo Isles,Colorful,n,Sok,h
Amazonia,Gonz,n,Hankk,o
Last Refuge,Sok,h,LawLiet,n
Concealed Hill,Sonik,n,Blade,h
Concealed Hill,Spiral,n,WaN,u
Northern Isles,SaiDe,n,JarAsH,o
Amazonia,Fish,h,Mosura,u
Twisted Meadows,Happy,u,XlorD,u
Concealed Hill,Ajk,n,Singroso,h
Echo Isles,Happy,u,Sheik,u
Last Refuge,X3-DemoN,h,Diesel (Russian player),n
Northern Isles,SyDe,u,Ze1Ko,h
Northern Isles,Deuce,u,Soulglider,h
Amazonia,MisterWinner,h,AtheistP,h
Terenas Stand LV,Sheik,u,Edo,u
Last Refuge,Sheik,u,Dise,n
Amazonia,Foggy,n,Please,n
Turtle Rock,HawK,h,Spiral,n
Last Refuge,Rav3n,u,FiR,o
Echo Isles,BoO,u,Fish,h
Amazonia,Fabrizzio,o,Thypan,u
Amazonia,Sonik,n,Grubby,o
Amazonia,Evocore,n,Nujabes,h
Last Refuge,LawLiet,n,Ice orc,o
Terenas Stand LV,TeRRoR,u,Sonik,n
Concealed Hill,Fish,h,Mosura,u
Last Refuge,Iva,h,Hipposaur,h
Twisted Meadows,SyDe,u,LiiLD.C,n
Echo Isles,Pcg 123,u,Colorful,n
Terenas Stand LV,Tak3r,o,Paika,n
Northern Isles,CrunCher,h,Walter,n
Echo Isles,ToM,o,JokeRn,n
Concealed Hill,Please,n,Neytpoh,n
Northern Isles,RavinDrannor,o,Lnclnerator,o
Last Refuge,TeRRoR,u,Edwin,u
Terenas Stand LV,MisterWinner,h,Diesel (Russian player),n
Last Refuge,Chaemiko,h,Robinson,n
Echo Isles,Lyn,o,Chaemiko,h
Last Refuge,Deuce,u,CrunCher,o
Concealed Hill,Happy,u,Please,n
Northern Isles,Infi,u,Chaemiko,h
Amazonia,Please,n,MisterWinner,h
Northern Isles,Cement,u,Delta,n
Last Refuge,Sok,h,Lyn,o
Last Refuge,SDmK,u,IDentify,o
Echo Isles,FoCuS,o,Soin,o
Echo Isles,Michael,u,Fortitude,h
Concealed Hill,FoCuS,o,Chaemiko,h
Concealed Hill,Tbc bm,u,ThundeR,h
Echo Isles,AtheistP,h,ToM,o
Last Refuge,Sonik,n,BeLit,n
Talonrift Coast,TGW,u,Blade,h
Amazonia,Starshaped,n,HoT,n
Terenas Stand LV,Ag3nt,h,Cement,u
Concealed Hill,Soin,o,Lin Guagua,o
Amazonia,MisterWinner,h,Speedyrogue,u
Concealed Hill,Philiwarrior,o,Drunken,h
Concealed Hill,Foggy,n,HawK,h
Northern Isles,Sok,h,Lyn,o
Northern Isles,Neytpoh,n,Dise,n
Concealed Hill,Pride,o,SaysO,o
Turtle Rock,Yumiko,u,15sui,u
Concealed Hill,JadeDark,n,NightEnD,u
Amazonia,Sonik,n,Hipposaur,h
Terenas Stand LV,Hunter,n,ViOLet,o
Echo Isles,LaWn,o,Endarspire,n
Concealed Hill,NoV,o,Singroso,h
Last Refuge,Eer0,u,FoCuS,o
Last Refuge,Dise,n,Aeb,u
Echo Isles,Ark,n,CrunCher,h
Amazonia,Paladyn,n,RaZZoRMaN,o
Twisted Meadows,ViOLet,o,Lnclnerator,o
Northern Isles,Foggy,n,Spiral,o
Amazonia,Fast,o,Mango,u
Last Refuge,SyDe,u,PiWi,n
Amazonia,X3-DemoN,h,Drashk,u
Northern Isles,Edo,u,ThorZaIN,h
Northern Isles,Foggy,n,Dise,n
Last Refuge,XiaoKK,o,Passion,n
Shattered Exile,TGW,u,Inspired,h
Terenas Stand LV,Sheik,u,TGW,u
Concealed Hill,SyDe,u,Ze1Ko,h
Twisted Meadows,Hunter,n,ViOLet,o
Terenas Stand LV,Hitman,o,SaysO,u
Amazonia,Michael,u,Edo,u
Echo Isles,ToM,o,Kevin,n
Terenas Stand LV,INSUPERABLE,u,Ark,n
Last Refuge,Arma,o,AtheistP,h
Last Refuge,Happy,u,W1gan,n
Northern Isles,Paladyn,n,Ze1Ko,h
Northern Isles,Sw1tch,o,TekRicket,n
Terenas Stand LV,Tak3r,o,Skutt,u
Turtle Rock,ToM,o,Ser,u
Turtle Rock,Pride,o,Deuce,u
Echo Isles,Eer0,u,Pink,u
Northern Isles,Lyn,o,Infi,h
Last Refuge,ThundeR,h,Sini,n
Northern Isles,Neytpoh,n,Biko,u
Last Refuge,Evocore,n,Rackanitsu,h
Turtle Rock,Colorful,n,Michael,u
Turtle Rock,Fly100%,o,Passion,n
Terenas Stand LV,Eer0,u,Lin Guagua,o
Northern Isles,TH000,h,Lin Guagua,o
Northern Isles,TGW,u,Edo,u
Last Refuge,Ceron,n,Pokey,n
Concealed Hill,ArminvB,o,Domi,u
Amazonia,MisterWinner,h,Simba,h
Last Refuge,Sheik,u,TheFlash,u
Northern Isles,ToD,h,SushiLicious,u
Amazonia,Deuce,u,INSUPERABLE,u
Last Refuge,Photonman24,u,TnT600X,o
Concealed Hill,ZeLL,h,BlaST9Z,o
Amazonia,Please,n,Robinson,n
Last Refuge,Infi,h,LawLiet,n
Turtle Rock,FoCuS,o,Chaemiko,h
Concealed Hill,IDentify,o,NoTrixZ,n
Northern Isles,Yange,n,GunEgg,u
Last Snow,Cash,o,Starshaped,n
Turtle Rock,Simba,h,ArminvB,o
Concealed Hill,ToM,o,Spiral,n
Last Refuge,ShaDai,h,X3-DemoN,h
Amazonia,Happy,u,Deathnote,h
Autumn Leaves,ArminvB,o,KounTy,n
Echo Isles,Maru,h,Dise,n
Concealed Hill,Wiz,o,ZeLL,h
Last Refuge,Sonik,n,RaZZoRMaN,o
Northern Isles,YaGami,h,IDentify,o
Last Refuge,Chiko,o,Dise,n
Echo Isles,Sooo Unreal,h,Hipposaur,h
Echo Isles,Sheik,u,Inspired,h
Amazonia,Mosura,u,Rici,o
Concealed Hill,Evocore,h,JarAsH,o
Amazonia,Lyn,o,Fly100%,o
Northern Isles,WaN,u,Edo,u
Twisted Meadows,Happy,u,Sonik,n
Last Refuge,Oxx,o,Nima8,h
Last Refuge,JohnnyCage,n,TGW,u
Terenas Stand LV,EnTe,u,Rigety,o
Turtle Rock,Fly100%,o,XiaoKai,u
Echo Isles,Dise,n,Sunny,h
Concealed Hill,JohnnyCage,h,HawK,h
Concealed Hill,DeMiGoD,o,Destroyer (Iranian player),u
Concealed Hill,Moon,n,TH000,h
Northern Isles,Hitman,o,ThundeR,h
Amazonia,Happy,u,ArminvB,o
Concealed Hill,FoCuS,o,Deathnote,h
Northern Isles,INSUPERABLE,u,SaysO,o
Echo Isles,Edo,u,Hipposaur,h
Northern Isles,CoopeR,o,LiiLD.C,n
Echo Isles,Michael,u,Alice,n
Concealed Hill,Tbc bm,u,行云影月,n
Autumn Leaves,Michael,u,ToD,h
Last Refuge,Fortitude,h,Moon,n
Echo Isles,FoCuS,o,LawLiet,n
Amazonia,FaiLo,o,Mosura,u
Last Refuge,Foggy,n,Michael,u
Concealed Hill,Rigety,o,ToM,o
Concealed Hill,Please,n,HawK,h
Terenas Stand LV,FoCuS,o,LawLiet,n
Amazonia,Pokey,n,Dazzle,h
Northern Isles,Happy,u,XeLSinG,o
Last Refuge,Lyn,o,Moon,n
Northern Isles,Fortitude,h,Sok,h
Echo Isles,Michael,u,Happy,u
Last Refuge,Deuce,u,Rottereye,n
Last Refuge,IDentify,o,NoTrixZ,n
Terenas Stand LV,Arma,o,AtheistP,h
Amazonia,Ark,n,IlIl,h
Concealed Hill,15sui,n,Pink,u
Last Refuge,DrK,h,Rackanitsu,h
Last Refuge,SyDe,u,Dise,n
Turtle Rock,Fortitude,h,Michael,u
Turtle Rock,LawLiet,n,Michael,u
Turtle Rock,Yumiko,h,淹死的Fish,h
Amazonia,Blade,h,Cash,o
Concealed Hill,Duck,u,Pokey,n
Northern Isles,Lin Guagua,o,Passion,n
Concealed Hill,Chaemiko,h,Sonik,n
Amazonia,Happy,u,LeMei,n
Amazonia,DirtBag,h,Ceron,n
Twisted Meadows,Dise,n,Cement,u
Last Refuge,MisterWinner,h,FroZeN (Russian player),h
Terenas Stand LV,Michael,u,Fly100%,o
Echo Isles,ToD,h,ToM,o
Last Refuge,Mosura,u,Gonz,n
Amazonia,Lin Guagua,o,Fortitude,h
Amazonia,Please,n,Sonik,n
Amazonia,XiaoKai,u,Chaemiko,h
Last Refuge,Sonik,n,Powlok,h
Echo Isles,Sw1tch,o,Deadmouz,u
Last Refuge,ToM,o,Cement,u
Concealed Hill,FoCuS,o,Moon,n
Northern Isles,Paxa,u,IzcoN,o
Last Refuge,Michael,u,Foggy,n
Northern Isles,Dise,n,TeRRoR,u
Autumn Leaves,Michael,u,TeRRoR,u
Amazonia,Sonik,n,NovA (Iranian player),u
Twisted Meadows,Happy,u,Foggy,n
Concealed Hill,ZatiroS,n,Kyossey,n
Terenas Stand LV,Foggy,n,Michael,u
Concealed Hill,ToM,o,Sixb0nes,h
Concealed Hill,Fortitude,h,Zhou Xixi,n
Last Refuge,XeLSinG,o,GodFather,u
Northern Isles,Sheik,u,Edo,u
Northern Isles,WaN,u,LucifroN,o
Amazonia,Foggy,n,Dise,n
Northern Isles,XlorD,u,Happy,u
Northern Isles,FoCuS,o,Fortitude,h
Turtle Rock,Moon,n,Yange,n
Echo Isles,Soin,o,Lyn,o
Last Refuge,ToM,o,Skutt,u
Echo Isles,Eer0,u,TH000,n
Northern Isles,Fortitude,h,Sok,h
Concealed Hill,Changer,h,PalleS,h
Twisted Meadows,LongWalk,n,RaGsen,o
Terenas Stand LV,Cement,u,Gonz,n
Autumn Leaves,Michael,u,JohnnyCage,h
Northern Isles,Ajk,n,TimberOwls,h
Amazonia,Soin,o,Sok,h
Echo Isles,Pink,u,HurricaneBo,n
Last Refuge,Michael,u,TeRRoR,u
Echo Isles,Foggy,n,Happy,u
Amazonia,Please,n,Rici,o
Northern Isles,Happy,u,Dise,n
Amazonia,Gonz,n,AtheistP,h
Amazonia,INSUPERABLE,u,Deathnote,h
Twisted Meadows,LawLiet,n,HoT,n
Amazonia,Blade,h,DowaQ,u
Concealed Hill,TapioN,o,WASlosLEGUAN,TBD
Echo Isles,JohnnyCage,n,Neytpoh,h
Amazonia,Sonik,n,X3-DemoN,h
Northern Isles,Seal,o,InsoliTe,u
Last Snow,Dise,n,PPK,u
Echo Isles,Moon,n,LawLiet,n
Echo Isles,YoungUndead,u,MisterWinner,h
Concealed Hill,XiaoKai,u,Lin Guagua,o
Concealed Hill,Eer0,u,Chaemiko,h
Twisted Meadows,Sonik,n,Cement,u
Echo Isles,Eer0,u,LawLiet,n
Concealed Hill,Chaemiko,h,ThundeR,h
Echo Isles,Sheik,u,Sonik,n
Twisted Meadows,Foggy,n,XlorD,u
Echo Isles,Colorful,n,Sini,o
Amazonia,Happy,u,Sheik,u
Concealed Hill,Eer0,u,Colorful,n
Concealed Hill,Hitman,n,Lnclnerator,o
Amazonia,Ludovik,n,Verbrecher,u
Terenas Stand LV,Fly100%,o,LawLiet,n
Amazonia,Happy,u,ToRReNtE,n
Concealed Hill,Melody,u,Bike,h
Turtle Rock,Lyn,o,Fly100%,o
Concealed Hill,Spiral,o,Drunken,h
Concealed Hill,CaSpeND,h,Ajk,n
Turtle Rock,Hitman,o,INSUPERABLE,u
Concealed Hill,Neytpoh,n,KraV,u
Northern Isles,Ser,u,Lubber,u
