Map,Winner,Winner race,Loser,Loser race
Northern Isles,Sirius,o,NickMoris,n
Last Refuge,Sok,h,Pcg 123,u
Last Refuge,Sonik,n,MisterWinner,h
Concealed Hill,Lin Guagua,o,Leezeay,o
Concealed Hill,SpoKi,h,RaGsen,o
Amazonia,XlorD,u,Edo,u
Last Refuge,KraV,u,Daille,h
Northern Isles,Moon,n,Lyn,o
Echo Isles,Colorful,n,Chaemiko,h
Echo Isles,Fortitude,h,WFZ,u
Concealed Hill,SeTh,n,Seal,o
Amazonia,Deathnote,h,Smoshy,n
Concealed Hill,Foggy,n,Fish,h
Concealed Hill,JohnnyCage,n,Neytpoh,h
Echo Isles,Fly100%,o,Pcg 123,u
Concealed Hill,Infi,u,Chaemiko,h
Amazonia,Sheik,u,Sorah,n
Autumn Leaves,Michael,u,Please,n
Concealed Hill,Fortitude,h,Michael,u
Northern Isles,EnTe,u,ManicTwig,o
Last Refuge,FoCuS,o,Sok,h
Twisted Meadows,KiWiKaKi,o,Hunter,n
Tidehunters,Ceron,n,Sooo Unreal,h
Terenas Stand LV,Robinson,n,Fish,h
Last Refuge,Foggy,n,VortiX,u
Northern Isles,ThundeR,h,TGW,u
Echo Isles,Arma,o,AtheistP,h
Last Refuge,Dise,n,Subutai,u
Concealed Hill,GodFather,u,Flopoks,u
Last Refuge,SDmK,u,Maru,h
Concealed Hill,Sonik,n,Kucher,h
Northern Isles,ArminvB,o,AtheistP,h
Terenas Stand LV,Duck,u,Ark,n
Last Refuge,Fortitude,h,XiaoKai,u
Concealed Hill,Foggy,n,Aeb,u
Last Refuge,Sonik,n,Lilyal,u
Amazonia,Edo,u,Steler,o
Northern Isles,Happy,u,NoV,o
Last Refuge,Happy,u,ManicTwig,o
Concealed Hill,Hitman,o,ViOLet,o
Northern Isles,YoungUndead,u,Gulliver,h
Amazonia,Endozero,o,Lilyal,u
Echo Isles,Cash,o,Mosura,u
Amazonia,Gondria,n,Yaremag,h
Last Refuge,Ice orc,o,Fast,o
Concealed Hill,VortiX,u,XlorD,u
Last Refuge,Temskiy,o,W1gan,n
Amazonia,Foggy,n,Happy,u
Last Refuge,ToD,h,Sonik,n
Echo Isles,Fortitude,h,Lin Guagua,o
Last Refuge,MisterWinner,h,Makc,h
Northern Isles,Happy,u,FeeLx,h
Northern Isles,Deathnote,h,BsK,u
Concealed Hill,DeMiGoD,o,MaradoNNa,o
Echo Isles,MrKenshin,o,Zeni,o
Twisted Meadows,Colorful,n,Eer0,u
Terenas Stand LV,Gonz,n,Ag3nt,h
Concealed Hill,Foggy,n,KraV,u
Northern Isles,Deuce,u,INSUPERABLE,u
Concealed Hill,Dise,n,Theozii,o
Northern Isles,Meecro,n,Quberte,u
Last Refuge,Dise,n,SDmK,u
Echo Isles,Aeb,u,Fabrizzio,o
Amazonia,Foggy,n,Sonik,n
Echo Isles,Lyn,o,Fly100%,o
Echo Isles,Soin,o,Michael,u
Echo Isles,XiaoKai,u,15sui,h
Terenas Stand LV,Spiral,o,Dise,n
Terenas Stand LV,SpoKi,h,Philiwarrior,o
Concealed Hill,Colorful,n,Lin Guagua,o
Terenas Stand LV,Sheik,u,Sonik,n
